"Reuben, Reuben",Robert Ellis Miller,"Tom Conti, Kelly McGillis",Romance,20th Century Fox
Revenge of the Ninja,Sam Firstenberg,"Sho Kosugi, Arthur Roberts",Action,
Richard Pryor: Here and Now,Richard Pryor,Richard Pryor,Comedy,Concert
The Right Stuff,Philip Kaufman,"Ed Harris, Scott Glenn, Dennis Quaid, Fred Ward, Sam Shepard, Charles Frank, Lance Henriksen","Drama, Biography",based on book by Tom Wolfe; won 4 Academy Awards
Risky Business,Paul Brickman,"Tom Cruise, Rebecca De Mornay",Comedy,Warner Bros.
Romantic Comedy,Arthur Hiller,"Dudley Moore, Mary Steenburgen",Comedy,play by Bernard Slade
Rumble Fish,Francis Ford Coppola,"Matt Dillon, Mickey Rourke, Diane Lane, Nicolas Cage",Drama,based on S. E. Hinton novel
Running Brave,D.S. Everett,"Robby Benson, Pat Hingle, Graham Greene",Biography,story of Billy Mills
Sahara,Andrew V. McLaglen,"Brooke Shields, Lambert Wilson",Drama,Cannon
Scarface,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio, Robert Loggia",Crime drama,Universal; remake of 1932 film
Silkwood,Mike Nichols,"Meryl Streep, Kurt Russell, Cher, Craig T. Nelson",Drama,5 Oscar nominations
Sleepaway Camp,Robert Hiltzik,"Felissa Rose, Jonathan Tiersten",Horror,
Smokey and the Bandit Part 3,Dick Lowry,"Jackie Gleason, Jerry Reed, Pat McCormick",Comedy,2nd Smokey and the Bandit sequel
Something Wicked This Way Comes,Jack Clayton,"Jonathan Pryce, Jason Robards, Pam Grier",Fantasy,based on Ray Bradbury story
Space Raiders,Howard R. Cohen,Vince Edwards,Sci-fi,
Spacehunter: Adventures in the Forbidden Zone,Lamont Johnson,"Peter Strauss, Molly Ringwald, Ernie Hudson",Sci-fi,Columbia
Spring Break,Sean S. Cunningham,"Perry Lang, Corinne Wahl",Comedy,Columbia
Star 80,Bob Fosse,"Eric Roberts, Mariel Hemingway, Cliff Robertson","Drama, Biography",story of Dorothy Stratten; Fosse's final film
The Star Chamber,Peter Hyams,"Michael Douglas, Hal Holbrook, Yaphet Kotto",Crime drama,20th Century Fox
Return of the Jedi,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Science fiction,3rd Star Wars film released
Staying Alive,Sylvester Stallone,"John Travolta, Cynthia Rhodes, Finola Hughes","Musical, Drama",sequel to Saturday Night Fever; 5 Razzie nominations
Still Smokin,Tommy Chong,"Cheech Marin, Tommy Chong",Comedy,Paramount
The Sting II,Jeremy Kagan,"Jackie Gleason, Teri Garr, Karl Malden",Crime comedy,sequel to The Sting
Strange Brew,Rick Moranis,"Rick Moranis, Dave Thomas, Max von Sydow",Comedy,based on SCTV characters
Strange Invaders,Michael Laughlin,"Paul Le Mat, Diana Scarwid, Nancy Allen","Sci-fi, Comedy",Orion
Streamers,Robert Altman,"Matthew Modine, David Alan Grier, George Dzundza",Drama,based on David Rabe play
Stroker Ace,Hal Needham,"Burt Reynolds, Jim Nabors, Ned Beatty, Loni Anderson",Comedy,5 Razzie nominations
Sudden Impact,Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle",Crime drama,3rd sequel to Dirty Harry
Superman III,Richard Lester,"Christopher Reeve, Richard Pryor, Robert Vaughn, Annette O'Toole",Action,2nd sequel to 1978 film
The Survivors,Michael Ritchie,"Walter Matthau, Robin Williams, Jerry Reed",Comedy,Columbia
Table for Five,Robert Lieberman,"Jon Voight, Richard Crenna, Roxana Zal",Drama,Warner Bros.
Tender Mercies,Bruce Beresford,"Robert Duvall, Tess Harper, Betty Buckley, Ellen Barkin",Drama,Academy Award for Duvall
Terms of Endearment,James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Jeff Daniels, Danny DeVito, John Lithgow","Drama, Comedy",won 5 Academy Awards
Testament,Lynne Littman,"Jane Alexander, William Devane, Roxana Zal",Drama,Paramount
To Be or Not to Be,Alan Johnson,"Mel Brooks, Anne Bancroft, José Ferrer, Tim Matheson",Comedy,remake of 1942 film
Tough Enough,Richard Fleischer,"Dennis Quaid, Pam Grier, Stan Shaw, Warren Oates",Drama,Oates' final film
Trading Places,John Landis,"Eddie Murphy, Dan Aykroyd, Jamie Lee Curtis, Don Ameche, Ralph Bellamy",Comedy,won two BAFTA awards
Trenchcoat,Michael Tuchner,"Robert Hays, Margot Kidder",Comedy,Disney
Twilight Zone: The Movie,"John Landis, Joe Dante, George Miller, Steven Spielberg","Vic Morrow, John Lithgow, Kathleen Quinlan, Scatman Crothers, Kevin McCarthy, Dan Aykroyd, Albert Brooks",Science fiction,based on the TV series; Morrow's final film
Twice Upon a Time,John Korty,,Animation,
Two of a Kind,John Herzfeld,"John Travolta, Olivia Newton-John, Charles Durning",Comedy,5 Razzie nominations; Remake of 1951 film
Uncommon Valor,Ted Kotcheff,"Gene Hackman, Fred Ward, Tex Cobb, Patrick Swayze","Action, War",Paramount
Under Fire,Roger Spottiswoode,"Nick Nolte, Gene Hackman, Joanna Cassidy, Ed Harris",Drama,Orion
Valley Girl,Martha Coolidge,"Nicolas Cage, Deborah Foreman",Comedy,Atlantic
Videodrome,David Cronenberg,"James Woods, Deborah Harry",Sci-fi,Universal
Vigilante,William Lustig,"Robert Forster, Fred Williamson, Rutanya Alda",Action,Vestron Video
Walking the Edge,Norbert Meisel,"Robert Forster, Nancy Kwan, Joe Spinell",Action,Empire Pictures
WarGames,John Badham,"Matthew Broderick, Dabney Coleman, Ally Sheedy",Sci-fi,3 Oscar nominations
Warrior of the Lost World,David Worth,"Donald Pleasence, Persis Khambatta, Fred Williamson",Sci-fi,made in Italy
Wavelength,Mike Gray,"Robert Carradine, Keenan Wynn",Sci-fi,New World
Winds of War,Dan Curtis,"Robert Mitchum, Ali MacGraw, John Houseman, Polly Bergen, Jan-Michael Vincent","War, Drama",based on Herman Wouk novel; TV mini-series
Winnie the Pooh and a Day for Eeyore,Rick Reinert,,Animation,Disney; 25 minutes
Without a Trace,Stanley R. Jaffe,"Kate Nelligan, Judd Hirsch, David Dukes",Drama,20th Century Fox
Yentl,Barbra Streisand,"Barbra Streisand, Mandy Patinkin, Amy Irving",Musical,2 Golden Globes
Zelig,Woody Allen,"Woody Allen, Mia Farrow",Mockumentary,Orion
2010,Peter Hyams,"Roy Scheider, Helen Mirren, John Lithgow, Bob Balaban, Dana Elcar",Science fiction,sequel to 2001: A Space Odyssey
The Adventures of Buckaroo Banzai,W. D. Richter,"Peter Weller, Ellen Barkin, John Lithgow, Jeff Goldblum, Christopher Lloyd",Science fiction,20th Century Fox
Against All Odds,Taylor Hackford,"Jeff Bridges, Rachel Ward, James Woods, Richard Widmark, Dorian Harewood, Alex Karras, Jane Greer",Drama,remake of Out of the Past
All of Me,Carl Reiner,"Steve Martin, Lily Tomlin, Dana Elcar",Comedy,Columbia
Alley Cat,Victor M. Ordonez,"Karin Mani, Robert Torti",Action,
Amadeus,Miloš Forman,"Tom Hulce, F. Murray Abraham, Elizabeth Berridge, Jeffrey Jones",Biography,bio of Wolfgang Amadeus Mozart; won 8 Academy Awards
The Ambassador,J. Lee Thompson,"Robert Mitchum, Ellen Burstyn, Donald Pleasence, Rock Hudson",Thriller,Cannon Group
American Dreamer,Rick Rosenthal,"Tom Conti, JoBeth Williams, Giancarlo Giannini",Comedy,Warner Bros.
Angel,Robert Vincent O'Neill,"Donna Wilkes, Dick Shawn, Susan Tyrrell",Action,New World Pictures
Bachelor Party,Neal Israel,"Tom Hanks, Tawny Kitaen, Adrian Zmed",Comedy,20th Century Fox
Bad Manners,Bobby Houston,"Martin Mull, Karen Black",Comedy,New World
Beat Street,Stan Lathan,"Rae Dawn Chong, Guy Davis","Drama, Music",
Before Stonewall,Greta Schiller,,Documentary,
Best Defense,Willard Huyck,"Dudley Moore, Eddie Murphy, Kate Capshaw, George Dzundza",Comedy,Paramount
Beverly Hills Cop,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher, Bronson Pinchot, Ronny Cox",Comedy,1984 top-grossing film; 2 sequels
Birdy,Alan Parker,"Matthew Modine, Nicolas Cage",Drama,based on William Wharton novel
Blame It on Rio,Stanley Donen,"Michael Caine, Joseph Bologna, Michelle Johnson, Demi Moore, Valerie Harper",Comedy,Donen's final film
Blind Date,Nico Mastorakis,"Kirstie Alley, Joseph Bottoms, Keir Dullea",Thriller,New Line Cinema
Blood Simple,"Joel Coen, Ethan Coen","John Getz, Frances McDormand, M. Emmet Walsh, Dan Hedaya, Samm-Art Williams",Suspense,first film from Coen brothers
Body Double,Brian De Palma,"Craig Wasson, Melanie Griffith, Gregg Henry, Deborah Shelton",Suspense,Columbia
Body Rock,Marcelo Epstein,"Lorenzo Lamas, Ray Sharkey",Musical,
Bolero,John Derek,"Bo Derek, George Kennedy, Olivia d'Abo, Andrea Occhipinti",Drama,won 6 Razzie awards
The Bostonians,James Ivory,"Christopher Reeve, Vanessa Redgrave, Jessica Tandy",Drama,based on Henry James novel
The Bounty,Roger Donaldson,"Mel Gibson, Anthony Hopkins, Daniel Day-Lewis, Laurence Olivier",Drama,remake of Mutiny on the Bounty
Breakin',Joel Silberg,"Lucinda Dickey, Christopher McDonald, Ice-T",Musical,
Breakin' 2: Electric Boogaloo,Sam Firstenberg,"Lucinda Dickey, Adolfo Quinones, Ice-T",Musical,sequel
Broadway Danny Rose,Woody Allen,"Mia Farrow, Woody Allen, Nick Apollo Forte","Comedy, Drama",Orion
The Brother from Another Planet,John Sayles,"Joe Morton, Steve James",Comedy,Cinecom
The Buddy System,Glenn A. Jordan,"Richard Dreyfuss, Susan Sarandon, Nancy Allen, Jean Stapleton",Comedy,20th Century Fox
C.H.U.D.,Douglas Cheek,"John Heard, Daniel Stern","Horror, Science fiction",New World
Cannonball Run II,Hal Needham,"Burt Reynolds, Dom DeLuise, Dean Martin, Shirley MacLaine, Sammy Davis, Jr., Marilu Henner, Jackie Chan, Telly Savalas,  Frank Sinatra",Comedy,"Warner Bros.; sequel to 1981 film; final film of Martin, Sinatra"
Children of the Corn,Fritz Kiersch,"Peter Horton, Linda Hamilton",Horror,first in series
Choose Me,Alan Rudolph,"Keith Carradine, Lesley Ann Warren, Geneviève Bujold, Rae Dawn Chong",Drama,
City Heat,Richard Benjamin,"Clint Eastwood, Burt Reynolds, Madeline Kahn, Richard Roundtree, Jane Alexander, Rip Torn",Crime comedy,Warner Bros.
Cloak & Dagger,Richard Franklin,"Henry Thomas, Dabney Coleman","Adventure, Family",Universal
The Company of Wolves,Neil Jordan,"Angela Lansbury, Stephen Rea","Fantasy, Horror",ITC
Conan the Destroyer,Richard Fleischer,"Arnold Schwarzenegger, Grace Jones, Wilt Chamberlain, Olivia d'Abo, Mako","Action, Fantasy",sequel to Conan the Barbarian
The Cotton Club,Francis Ford Coppola,"Richard Gere, Gregory Hines, Diane Lane, Lonette McKee, Bob Hoskins, James Remar, Nicolas Cage, Maurice Hines, Fred Gwynne, Gwen Verdon","Drama, Musical",based on famed Harlem club
Country,Richard Pearce,"Jessica Lange, Sam Shepard, Wilford Brimley",Drama,Touchstone
Crackers,Louis Malle,"Donald Sutherland, Jack Warden, Sean Penn",Crime comedy,Universal
Crimes of Passion,Ken Russell,"Kathleen Turner, Anthony Perkins",Drama,New World
Dreamscape,Joseph Ruben,"Dennis Quaid, Christopher Plummer, Kate Capshaw, Max von Sydow, David Patrick Kelly",Science fiction,20th Century Fox
Dune,David Lynch,"Kyle MacLachlan, Sting, Sean Young, Kenneth McMillan, Francesca Annis, José Ferrer, Patrick Stewart, Alicia Witt, Virginia Madsen",Science fiction,based on the novel by Frank Herbert
Electric Dreams,Steve Barron,"Lenny Von Dohlen, Virginia Madsen",Comedy,
The Evil That Men Do,J. Lee Thompson,"Charles Bronson, José Ferrer",Action,Tri-Star
Falling in Love,Ulu Grosbard,"Robert De Niro, Meryl Streep, Harvey Keitel",Romance,Paramount
Fear City,Abel Ferrara,"Tom Berenger, Billy Dee Williams, Melanie Griffith",Action,
Finders Keepers,Richard Lester,"Michael O'Keefe, Louis Gossett, Jr., Beverly D'Angelo",Comedy,CBS Films
Firestarter,Mark L. Lester,"Drew Barrymore, David Keith, George C. Scott, Martin Sheen, Heather Locklear, Louise Fletcher",Thriller,based on a story by Stephen King
Firstborn,Michael Apted,"Teri Garr, Peter Weller, Corey Haim",Drama,Paramount
The Flamingo Kid,Garry Marshall,"Matt Dillon, Richard Crenna, Héctor Elizondo",Comedy,20th Century Fox
A Flash of Green,Victor Nunez,"Ed Harris, Blair Brown",Drama,
Flashpoint,William Tannen,"Kris Kristofferson, Treat Williams",Action,HBO Films
Footloose,Herbert Ross,"Kevin Bacon, John Lithgow, Lori Singer, Dianne Wiest, Chris Penn","Drama, Musical",remade in 2011
Friday the 13th: The Final Chapter,Joseph Zito,"Corey Feldman, Crispin Glover, Kimberly Beck",Horror,sequel
Gallavants,Art Vitello,"Robert Lydiard, Vic Perrin, Peter Cullen",Animation,
Garbo Talks,Sidney Lumet,"Anne Bancroft, Ron Silver, Carrie Fisher",Drama,United Artists
Ghostbusters,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Ernie Hudson, Annie Potts","Science fiction, Comedy",Columbia; first of series; Remake of 2016 film
Ghost Warrior,J. Larry Carroll,"Hiroshi Fujioka, John Calvin, Janet Julian",Science fiction,
Gimme an 'F',Paul Justman,"Stephen Shellen, Jennifer Cooke, Beth Miller",Comedy,
Girls Nite Out,Robert Deubel,"Julia Montgomery, Rutanya Alda",Horror,
"Grandview, U.S.A.",Randal Kleiser,"Jamie Lee Curtis, Patrick Swayze, C. Thomas Howell, Jennifer Jason Leigh, Troy Donahue, Carole Cook",Drama,Paramount
Gremlins,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton","Comedy, Horror",sequel in 1990
Hard to Hold,Larry Peerce,"Rick Springfield, Patti Hansen, Albert Salmi",Musical,Universal
Harry & Son,Paul Newman,"Paul Newman, Robby Benson, Ellen Barkin, Judith Ivey, Ossie Davis, Joanne Woodward",Drama,Orion
Heartbreakers,Bobby Roth,"Peter Coyote, Nick Mancuso, Kathryn Harrold, Max Gail, Carol Wayne",Drama,Orion
Heartsounds,Glenn Jordan,"Mary Tyler Moore, James Garner",Drama,Embassy; Made for TV
Hot Dog... The Movie,Peter Markle,"David Naughton, Shannon Tweed",Comedy,
The Hotel New Hampshire,Tony Richardson,"Jodie Foster, Beau Bridges, Rob Lowe, Nastassja Kinski, Anita Morris, Matthew Modine",Comedy-drama,based on a novel by John Irving
The Ice Pirates,Stewart Raffill,"Robert Urich, Mary Crosby, Anjelica Huston",Sci-fi,MGM
Iceman,Fred Schepisi,"Timothy Hutton, John Lone, Lindsay Crouse",Sci-fi,
Indiana Jones and the Temple of Doom,Steven Spielberg,"Harrison Ford, Jonathan Ke Quan, Kate Capshaw",Action,sequel to Raiders of the Lost Ark
Irreconcilable Differences,Charles Shyer,"Ryan O'Neal, Drew Barrymore, Shelley Long",Comedy,Warner Bros.
The Jesse Owens Story,Richard Irving,"Dorian Harewood, Dan Ammerman",Biography,
Johnny Dangerously,Amy Heckerling,"Michael Keaton, Marilu Henner, Griffin Dunne, Joe Piscopo, Maureen Stapleton, Peter Boyle",Comedy,20th Century Fox
Just the Way You Are,Édouard Molinaro,"Kristy McNichol, Michael Ontkean",Comedy,MGM
The Karate Kid,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, William Zabka, Martin Kove",Drama,3 sequels plus 2010 remake
Killpoint,Frank Harris,"Richard Roundtree, Leo Fong, Cameron Mitchell",Action,
Lace,William Hale,"Phoebe Cates, Angela Lansbury, Brooke Adams, Bess Armstrong, Anthony Quayle, Herbert Lom",Drama,TV miniseries; based on Shirley Conran novel
Lassiter,Roger Young,"Tom Selleck, Jane Seymour, Lauren Hutton",Adventure,
The Last Starfighter,Nick Castle,"Lance Guest, Robert Preston, Dan O'Herlihy, Catherine Mary Stewart",Science fiction,Lorimar
The Little Drummer Girl,George Roy Hill,"Diane Keaton, Klaus Kinski, Sami Frey",Thriller,based on a novel by John le Carré
The Lonely Guy,Arthur Hiller,"Steve Martin, Judith Ivey, Charles Grodin",Comedy,based on Bruce Jay Friedman book
Love Letters,Amy Holden Jones,"Jamie Lee Curtis, James Keach, Bonnie Bartlett",Thriller,New World Pictures
Love Streams,John Cassavetes,"Gena Rowlands, John Cassavetes",Drama,Cannon
Making the Grade,Dorian Walker,"Judd Nelson, Gordon Jump",Comedy,
Maria's Lovers,Andrei Konchalovsky,"Nastassja Kinski, John Savage, Robert Mitchum",Drama,Cannon
Mass Appeal,Glenn Jordan,"Jack Lemmon, Željko Ivanek, Charles Durning",Drama,based on play
Meatballs Part II,Ken Weiderhorn,"Richard Mulligan, Kim Richards",Comedy,sequel to Meatballs
Micki and Maude,Blake Edwards,"Dudley Moore, Ann Reinking, Amy Irving",Comedy,Columbia
Mike's Murder,James Bridges,"Debra Winger, Mark Keyloun",Drama,Warner Bros.
Missing in Action,Joseph Zito,"Chuck Norris, James Hong, M. Emmet Walsh",Action,Cannon
Moscow on the Hudson,Paul Mazursky,"Robin Williams, María Conchita Alonso",Comedy,Columbia
Mrs. Soffel,Gillian Armstrong,"Diane Keaton, Mel Gibson, Edward Herrmann, Matthew Modine",Drama,MGM
The Muppets Take Manhattan,Frank Oz,"Jim Henson, Frank Oz, Dave Goelz",Family,TriStar
The Naked Face,Bryan Forbes,"Roger Moore, Rod Steiger, Elliott Gould, Anne Archer, David Hedison, Art Carney",Mystery,based on a novel by Sidney Sheldon
National Lampoon's Joy of Sex,Martha Coolidge,"Cameron Dye, Colleen Camp, Ernie Hudson",Comedy,based on sex manual
The Natural,Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger, Wilford Brimley, Richard Farnsworth, Robert Prosky, Barbara Hershey, Darren McGavin",Drama,based on a novel by Bernard Malamud
The NeverEnding Story,Wolfgang Petersen,"Barret Oliver, Noah Hathaway, Gerald McRaney",Fantasy,2 sequels
Night Patrol,Jackie Kong,"Linda Blair, Murray Langston, Pat Paulsen",Comedy,
Night of the Comet,Thom Eberhardt,"Catherine Mary Stewart, Geoffrey Lewis",Sci-fi,
A Nightmare on Elm Street,Wes Craven,"Robert Englund, Heather Langenkamp, John Saxon, Ronee Blakley, Amanda Wyss, Johnny Depp",Horror,first of series
Ninja III: The Domination,Sam Firstenberg,"Sho Kosugi, Lucinda Dickey",Action,
No Small Affair,Jerry Schatzberg,"Jon Cryer, Demi Moore, George Wendt",Comedy,Columbia
Not for Publication,Paul Bartel,"Nancy Allen, David Naughton",Comedy,
Nothing Lasts Forever,Tom Schiller,"Zach Galligan, Lauren Tom, Bill Murray",Comedy,not released in theaters or on DVD
Old Enough,Marisa Silver,"Sarah Boyd, Rainbow Harvest, Danny Aiello",Teen,
Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Tuesday Weld, Elizabeth McGovern, Joe Pesci, Jennifer Connelly, Treat Williams, William Forsythe, Danny Aiello",Drama,winner of 2 BAFTA awards; Leone's last film
Over the Brooklyn Bridge,Menahem Golan,"Elliott Gould, Shelley Winters, Margaux Hemingway, Burt Young, Carol Kane, Sid Caesar",Comedy,MGM/UA
Oxford Blues,Robert Boris,"Rob Lowe, Ally Sheedy, Julian Sands",Comedy,remake of A Yank at Oxford
"Paris, Texas",Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell",Drama,won Palme d'Or at Cannes Festival
A Passage to India,David Lean,"Judy Davis, Peggy Ashcroft, Alec Guinness",Drama,based on a novel by E. M. Forster; Lean's last film; 2 Oscars
The Perils of Gwendoline in the Land of the Yik-Yak,Just Jaeckin,"Tawny Kitaen, Brent Huff",Action,
The Philadelphia Experiment,Stewart Raffill,"Michael Paré, Nancy Allen",Sci-fi,New World
Places in the Heart,Robert Benton,"Sally Field, John Malkovich, Danny Glover, Lindsay Crouse, Ed Harris, Amy Madigan",Drama,Oscars for Field and screenplay
Police Academy,Hugh Wilson,"Steve Guttenberg, Kim Cattrall, G. W. Bailey, Bubba Smith, George Gaynes, Leslie Easterbrook, David Graf, Michael Winslow, Donovan Scott",Comedy,first of series
The Pope of Greenwich Village,Stuart Rosenberg,"Mickey Rourke, Eric Roberts, Daryl Hannah, Kenneth McMillan, Geraldine Page, M. Emmet Walsh, Burt Young",Crime drama,based on a novel by Vincent Patrick
Protocol,Herbert Ross,"Goldie Hawn, Andre Gregory, Chris Sarandon",Comedy,Warner Bros.
Purple Hearts,Sidney J. Furie,"Ken Wahl, Cheryl Ladd",War drama,Warner Bros.
Purple Rain,Albert Magnoli,"Prince, Morris Day, Apollonia Kotero",Drama,Academy Award for Musical Score
Racing with the Moon,Richard Benjamin,"Sean Penn, Nicolas Cage, Elizabeth McGovern",Drama,Paramount
The Razor's Edge,John Byrum,"Bill Murray, Theresa Russell, Catherine Hicks, Denholm Elliott, Brian Doyle-Murray, James Keach",Drama,Columbia; based on a novel by Somerset Maugham; Remake of 1946 film
Reckless,James Foley,"Aidan Quinn, Daryl Hannah, Cliff De Young",Romance,
Red Dawn,John Milius,"Patrick Swayze, Lea Thompson, Charlie Sheen, C. Thomas Howell, Jennifer Grey, Harry Dean Stanton, Powers Boothe, Ben Johnson",Action,"remade in 2012; Also, first film rated PG-13"
Repo Man,Alex Cox,"Emilio Estevez, Harry Dean Stanton, Tracey Walter",Comedy,Universal
Revenge of the Nerds,Jeff Kanew,"Anthony Edwards, Robert Carradine, Timothy Busfield, Curtis Armstrong",Comedy,3 sequels
Rhinestone,Bob Clark,"Sylvester Stallone, Dolly Parton, Ron Leibman, Tim Thomerson, Richard Farnsworth",Musical comedy,8 Razzie nominations
The River,Mark Rydell,"Mel Gibson, Sissy Spacek, Scott Glenn",Drama,4 Oscar nominations
Roadhouse 66,John Mark Robinson,"Willem Dafoe, Judge Reinhold",Action,
Romancing the Stone,Robert Zemeckis,"Michael Douglas, Kathleen Turner, Danny DeVito",Comedy,followed by The Jewel of the Nile
The Rosebud Beach Hotel,Harry Hurwitz,"Colleen Camp, Peter Scolari, Christopher Lee",Comedy,
Runaway,Michael Crichton,"Tom Selleck, Gene Simmons, Cynthia Rhodes",Sci-fi,TriStar
Savage Streets,Danny Steinmann,"Linda Blair, John Vernon",Action,
Secret Honor,Robert Altman,Philip Baker Hall,Drama,1-character story (Richard Nixon)
Sheena,John Guillermin,"Tanya Roberts, Ted Wass, Donovan Scott",Adventure,based on comic-book character
Silent Madness,Simon Nuchtern,"Belinda Montgomery, Viveca Lindfors",Horror,
"Silent Night, Deadly Night","Charles E. Sellier, Jr.","Lilyan Chauvin, Robert Brian Wilson, Linnea Quigley",Horror,
Sixteen Candles,John Hughes,"Molly Ringwald, Anthony Michael Hall",Comedy,Universal
Slapstick of Another Kind,Steven Paul,"Jerry Lewis, Madeline Kahn",Comedy,based on story by Kurt Vonnegut
A Soldier's Story,Norman Jewison,"Howard Rollins, Adolph Caesar, Denzel Washington",Drama,based on a play by Charles Fuller
Songwriter,Alan Rudolph,"Willie Nelson, Kris Kristofferson, Melinda Dillon",Drama,TriStar
Splash,Ron Howard,"Daryl Hannah, Tom Hanks, John Candy, Eugene Levy",Comedy,Touchstone
Star Trek III: The Search for Spock,Leonard Nimoy,"William Shatner, Leonard Nimoy, George Takei",Science fiction,2nd sequel to Star Trek
Starman,John Carpenter,"Jeff Bridges, Karen Allen, Charles Martin Smith",Science fiction,inspired TV series
Stop Making Sense,Jonathan Demme,Talking Heads,Documentary,
Stranger Than Paradise,Jim Jarmusch,"John Lurie, Eszter Balint, Richard Edson",Comedy,
Streets of Fire,Walter Hill,"Michael Paré, Diane Lane, Rick Moranis, Amy Madigan, Willem Dafoe",Action,Universal
Suburbia,Penelope Spheeris,"Jennifer Clay, Flea, Christina Beck",Comedy,
Supergirl,Jeannot Szwarc,"Helen Slater, Peter O'Toole, Faye Dunaway",Superhero,based on character from DC Comics
Surf II,Randall M. Badat,"Eddie Deezen, Cleavon Little, Eric Stoltz",Comedy,
Swing Shift,Jonathan Demme,"Goldie Hawn, Kurt Russell, Christine Lahti, Ed Harris",Drama,Warner Bros.
Tank,Marvin J. Chomsky,"James Garner, C. Thomas Howell, Shirley Jones",Drama,Lorimar
Teachers,Arthur Hiller,"Nick Nolte, JoBeth Williams, Judd Hirsch, Ralph Macchio, Lee Grant",Drama,United Artists
The Terminator,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Lance Henriksen, Paul Winfield",Science fiction,first of series
Terror in the Aisles,Andrew J. Kuehn,"Donald Pleasence, Nancy Allen",Documentary,on horror films
Thief of Hearts,Douglas Day Stewart,"Steven Bauer, Barbara Williams",Drama,
This Is Spinal Tap,Rob Reiner,"Michael McKean, Christopher Guest, Harry Shearer",Comedy,Embassy Pictures
Tightrope,Richard Tuggle,"Clint Eastwood, Geneviève Bujold, Dan Hedaya",Thriller,Warner Bros.
Top Secret!,"Jim Abrahams, David Zucker","Val Kilmer, Lucy Gutteridge, Omar Sharif",Comedy,Paramount
The Toxic Avenger,Michael HerzLloyd Kaufman,Mitch Cohen,Comedy horror,
Under the Volcano,John Huston,"Albert Finney, Jacqueline Bisset",Drama,based on Malcolm Lowry novel
Unfaithfully Yours,Howard Zieff,"Dudley Moore, Nastassja Kinski, Armand Assante, Albert Brooks",Comedy,remake of 1948 film
Until September,Richard Marquand,"Karen Allen, Thierry Lhermitte",Romance,
Up the Creek,Robert Butler,"Tim Matheson, Jennifer Runyon",Comedy,Orion
The Warrior and the Sorceress,John C. Broderick,"David Carradine, Maria Socas","Action, Fantasy",
Where the Boys Are '84,Hy Averback,"Lisa Hartman, Lorna Luft, Wendy Schaal, Lynn-Holly Johnson, Russell Todd, Alana Stewart",Comedy,TriStar Pictures; Remake of 1960 film
Where the Toys Come From,Theodore Thomas,,Animation,
The Wild Life,Art Linson,"Chris Penn, Eric Stoltz, Lea Thompson, Rick Moranis, Ilan Mitchell-Smith",Comedy,Universal
The Woman in Red,Gene Wilder,"Gene Wilder, Gilda Radner, Joseph Bologna, Charles Grodin, Kelly Le Brock",Comedy,Academy Award for Best Song
A.D.,Stewart Cooper,,,
The Adventures of Mark Twain,Will Vinton,James Whitmore,Animation,Clubhouse Pictures
After Hours,Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Linda Fiorentino, Catherine O'Hara, Teri Garr, John Heard","Comedy, thriller",Warner Bros.
Agnes of God,Norman Jewison,"Jane Fonda, Anne Bancroft, Meg Tilly",Drama,3 Oscar nominations
Alamo Bay,Louis Malle,"Amy Madigan, Ed Harris, Ho Nguyen",Drama,TriStar
Alice in Wonderland,Harry Harris,"Natalie Gregory, Red Buttons, Roddy McDowall, Jayne Meadows, Scott Baio, Robert Morley, Anthony Newley, Imogene Coca, Telly Savalas, Ringo Starr, Shelley Winters",Fantasy,made for TV; based on a story by Lewis Carroll
American Flyers,John Badham,"Kevin Costner, David Marshall Grant, Rae Dawn Chong, Alexandra Paul, Janice Rule, John Amos",Drama,Warner Bros.
American Ninja,Sam Firstenberg,"Michael Dudikoff, Steve James, Judie Aronson",Action,Cannon Films
Anna Karenina,Simon Langton,"Jacqueline Bisset, Christopher Reeve, Paul Scofield, Ian Ogilvy",Drama,based on Leo Tolstoy novel
Appointment with Fear,Ramsey ThomasAlan Smithee,"Michele Little, Douglas Rowe, Garrick Dowhen, Kerry Remsen",Horror,
Avenging Angel,Robert Vincent O'Neill,"Betsy Russell, Ossie Davis, Rory Calhoun",Drama,sequel to Angel
"Aviator, The",George T. Miller,"Rosanna Arquette, Christopher Reeve, Tyne Daly",Adventure,from Ernest K. Gann novel
